text@dd1982m	@dd1982m	717.804	726.496	одна из эээ причин / распада Зимовья Зверей была в том что / тебе не очень комфортно было выступать на больших площадках и / так сказать //
text@dd1982m	@dd1982m	726.782	735.043	в виде какой-то там рок-звезды ты себя не особо видел тебе было комфортно на / более маленьких сценах то есть более акустические камерные какие-то / концерты //
text@dd1982m	@dd1982m	741.468	750.829	но а смотри а в... то есть / сейчас вот / как бы я со стороны вижу ситуацию таким образом мы вот с тобой познакомились несколько лет назад когда Зимовье Зверей / не собралось в таком виде как сейчас //
text@dd1982m	@dd1982m	750.922	758.105	и получается ты играл акустические концерты / да ездил там вот с акустической гитарой / эээ выступал / и я так понимаю что //
text@dd1982m	@dd1982m	759.028	768.658	ааа количество людей которые сейчас приходят на концерты Зимовья Зверей / то есть в разы эээ так сказать отличается от количества людей которые приходили на сольные концерты акустические да? //
text@dd1982m	@dd1982m	769.0	778.127	то наверно в какой-то момент эээ тебе просто это надоело история с этими акустиками всеми непонятными и ты просто решил это всё эээ возродить вот как-то я это так вижу со стороны //
text@dd1982m	@dd1982m	778.71	780.454	ну потому что мне кажется что это //
text@dd1982m	@dd1982m	887.14	888.274	ну / я имею в виду //
text@dd1982m	@dd1982m	909.56	914.58	слушай а я насколько знаю / ты не так давно ведь эээ играешь на гитаре да? //
text@dd1982m	@dd1982m	914.92	920.56	то есть у тебя не такая история как у всех что с детства там ну / играл на гитаре сочинял песни и потом / там / всё //
text@dd1982m	@dd1982m	1050.976	1054.384	а д... на других эээ инструментах ты не играешь музыкальных? //
gesture@kua1968m	@kua1968m	736.096	736.545	левой рукой опирается на подлокотник, постукивает кистью по воздуху, выставив указательный палец
gesture@kua1968m	@kua1968m	738.041	738.948	левой рукой опирается на подлокотник, постукивает кистью по воздуху, выставив указательный палец
gesture@kua1968m	@kua1968m	740.082	740.365	левой рукой опирается на подлокотник, постукивает кистью по воздуху, выставив указательный палец
gesture@kua1968m	@kua1968m	767.902	768.647	коротко кивает
gesture@kua1968m	@kua1968m	781.67	783.198	имитирует игру на гитаре обеими руками
gesture@kua1968m	@kua1968m	783.898	786.832	поворачивает руки ладонью вверх, опираясь локтями на подлокотники, потряхивая ими в такт речи
gesture@kua1968m	@kua1968m	788.924	802.16	поворачивает руки ладонью вверх, опираясь локтями на подлокотники, потряхивая ими в такт речи много раз
gesture@kua1968m	@kua1968m	803.086	810.258	поднимает руки на уровень груди и очерчивает ладонями полукруг несколько раз
gesture@kua1968m	@kua1968m	811.789	815.345	поднимает руки на уровень груди и очерчивает ладонями полукруг один раз
gesture@kua1968m	@kua1968m	815.345	817.086	указывает на себя согнутыми ладонями несколько раз
gesture@kua1968m	@kua1968m	817.11	819.122	покачивает согнутыми ладонями в воздухе несколько раз
gesture@kua1968m	@kua1968m	819.134	822.357	сводит руки ближе и изображает движение, как будто ставит что-то
gesture@kua1968m	@kua1968m	822.358	827.962	сведёнными на расстоянии параллельно руками покачивает в такт речи
gesture@kua1968m	@kua1968m	828.678	833.444	поднимает руки на уровень груди и делает круговые движения ладонями
